regio2,totalRent,balcony,livingSpace,noRooms
Köln,950.0,0,73.0,3.0
Köln,799.0,0,28.0,1.0
Köln,1350.0,1,72.0,2.0
Köln,505.0,1,28.0,1.0
Köln,1500.0,1,92.0,2.0
Köln,760.0,1,54.0,2.0
Stuttgart,1350.0,0,90.0,3.5
Köln,1252.0,1,86.45,3.0
Köln,725.0,1,44.18,1.0
Köln,1940.0,0,149.0,4.0
Köln,940.0,0,60.0,2.0
Stuttgart,1590.0,1,64.0,2.0
Köln,2840.0,1,105.0,3.0
Stuttgart,1870.0,1,111.0,4.5
Köln,1876.8,1,92.0,3.0
Köln,1020.0,1,95.0,3.0
Köln,1673.0,1,116.0,4.0
Köln,1180.36,1,74.0,3.0
Stuttgart,750.0,0,17.0,1.0
Köln,656.0,0,37.0,2.0
Köln,964.0,1,67.0,2.0
Köln,1359.0,1,95.0,3.0
Köln,1290.0,1,40.0,1.0
Stuttgart,1990.0,1,85.0,3.0
Stuttgart,710.0,1,39.0,1.0
Köln,4560.0,1,246.0,5.0
Köln,895.0,1,62.82,2.0
Köln,1605.0,1,121.36,4.0
Köln,840.0,1,73.0,3.0
Stuttgart,820.0,1,17.0,1.0
Köln,1750.0,0,110.0,3.5
Stuttgart,2065.0,1,110.0,3.0
Köln,600.0,0,55.0,2.0
Köln,2990.0,1,130.0,3.0
Köln,825.0,1,42.05,1.0
Köln,980.0,1,80.0,2.0
Stuttgart,930.0,1,60.0,2.0
Köln,630.6,0,25.0,1.0
Stuttgart,1910.0,1,90.0,2.0
Stuttgart,2930.0,1,168.0,6.0
Stuttgart,1473.0,1,68.0,2.0
Köln,1290.0,1,107.31,3.0
Stuttgart,1840.0,0,155.0,6.0
Köln,2300.0,1,145.0,3.0
Stuttgart,660.0,1,18.7,1.0
Stuttgart,2400.0,0,80.0,1.5
Köln,1584.0,1,102.3,4.0
Köln,715.0,1,54.0,2.0
Köln,3520.0,1,130.0,3.0
Stuttgart,1770.0,0,110.0,4.0
Stuttgart,590.0,0,19.0,1.0
Köln,931.0,1,88.0,3.0
Stuttgart,1340.0,1,97.0,3.0
Stuttgart,750.0,0,20.0,1.0
Köln,1150.0,1,102.0,3.0
Köln,855.0,1,81.95,3.0
Stuttgart,1573.0,0,93.34,3.0
Köln,1690.0,1,90.0,3.0
Stuttgart,1580.0,1,75.0,3.0
Köln,2060.0,1,110.0,3.0
Köln,1423.0,1,64.0,5.0
Köln,1000.0,1,99.0,4.0
Köln,1506.0,1,108.96,4.0
Stuttgart,740.0,1,54.5,2.0
Stuttgart,590.0,1,16.0,1.0
Stuttgart,1490.0,1,48.0,2.0
Stuttgart,1400.0,1,70.0,3.0
Köln,1065.0,1,75.0,3.0
Köln,1100.0,1,98.0,4.0
Köln,945.0,1,77.0,2.0
Stuttgart,1800.0,1,165.0,4.0
Stuttgart,1900.0,1,83.0,3.0
Stuttgart,1835.0,1,91.0,4.0
Stuttgart,1180.0,1,51.0,2.0
Köln,1030.0,1,91.0,3.0
Köln,445.0,0,40.0,2.0
Stuttgart,1400.0,0,58.0,2.0
Stuttgart,3570.8,1,184.25,4.0
Stuttgart,1420.0,1,78.0,3.5
Stuttgart,2925.0,1,135.0,3.0
Köln,1223.0,0,70.0,3.0
Köln,930.0,1,67.0,3.0
Köln,540.0,0,32.0,1.0
Köln,1285.0,1,147.0,3.0
Stuttgart,980.0,1,40.0,1.5
Stuttgart,500.0,0,10.0,1.0
Stuttgart,1250.0,1,70.0,3.0
Köln,2700.0,1,177.0,4.0
Stuttgart,1900.0,1,120.0,2.5
Stuttgart,1051.68,1,67.73,3.0
Köln,835.0,1,66.0,2.0
Köln,806.0,0,70.0,2.0
Köln,1492.0,1,84.0,2.5
Köln,1050.0,0,78.0,2.0
Köln,1800.0,1,120.0,3.0
Köln,1340.0,1,74.0,3.0
Köln,1067.06,1,67.29,2.0
Köln,1800.0,1,120.0,4.0
Stuttgart,995.0,0,82.0,2.5
Köln,540.0,0,40.0,1.0
Stuttgart,880.0,0,75.0,3.0
Stuttgart,1950.0,1,80.0,3.0
Köln,1260.0,0,76.0,2.0
Stuttgart,1450.0,1,42.0,1.5
Köln,1335.0,1,90.0,3.0
Stuttgart,1390.0,1,89.0,3.0
Stuttgart,1530.0,0,63.0,1.5
Köln,710.0,0,14.0,1.0
Köln,790.0,1,40.0,1.0
Stuttgart,976.8,0,43.38,1.0
Stuttgart,750.0,1,13.0,1.0
Stuttgart,1650.0,1,69.0,3.0
Stuttgart,1100.0,0,66.0,2.0
Köln,1155.0,0,96.71,3.0
Köln,810.0,1,45.0,2.0
Stuttgart,2060.0,1,100.0,3.0
Köln,568.0,0,31.0,1.0
Köln,500.0,0,21.0,1.0
Stuttgart,1270.0,1,69.0,2.5
Köln,670.0,1,12.0,1.0
Köln,3740.0,1,150.0,4.0
Köln,1800.0,1,109.0,4.0
Köln,999.0,0,40.76,2.0
Stuttgart,912.0,0,22.0,1.0
Köln,1550.0,1,114.0,3.0
Köln,1800.0,0,111.0,3.0
Köln,590.0,1,40.0,2.0
Köln,1420.0,1,91.0,2.0
Stuttgart,1230.0,1,91.0,3.0
Köln,2080.0,1,143.5,5.0
Köln,980.0,1,83.0,3.0
Köln,795.0,0,65.0,2.0
Köln,1525.0,1,110.0,3.0
Stuttgart,1650.0,1,103.0,3.0
Stuttgart,710.0,0,20.0,1.0
Stuttgart,1650.0,1,69.0,3.0
Stuttgart,400.0,0,10.0,1.0
Stuttgart,1188.5,1,84.0,3.0
Köln,680.0,0,40.0,1.0
